name,version,purl,type,bom-ref,hashes
looseversion,1.3.0,pkg:pypi/looseversion@1.3.0,library,pkg:pypi/looseversion@1.3.0,
lxml,6.0.0,pkg:pypi/lxml@6.0.0,library,pkg:pypi/lxml@6.0.0,
magika,0.6.2,pkg:pypi/magika@0.6.2,library,pkg:pypi/magika@0.6.2,
mammoth,1.9.1,pkg:pypi/mammoth@1.9.1,library,pkg:pypi/mammoth@1.9.1,
markdown,3.8.2,pkg:pypi/markdown@3.8.2,library,pkg:pypi/markdown@3.8.2,
markdown-it-py,3.0.0,pkg:pypi/markdown-it-py@3.0.0,library,pkg:pypi/markdown-it-py@3.0.0,
markdownify,1.1.0,pkg:pypi/markdownify@1.1.0,library,pkg:pypi/markdownify@1.1.0,
markitdown,0.1.2,pkg:pypi/markitdown@0.1.2,library,pkg:pypi/markitdown@0.1.2,
markitdown-mcp,0.0.1a4,pkg:pypi/markitdown-mcp@0.0.1a4,library,pkg:pypi/markitdown-mcp@0.0.1a4,
markupsafe,3.0.2,pkg:pypi/markupsafe@3.0.2,library,pkg:pypi/markupsafe@3.0.2,
marshmallow,3.26.1,pkg:pypi/marshmallow@3.26.1,library,pkg:pypi/marshmallow@3.26.1,
mcp,1.8.1,pkg:pypi/mcp@1.8.1,library,pkg:pypi/mcp@1.8.1,
mdurl,0.1.2,pkg:pypi/mdurl@0.1.2,library,pkg:pypi/mdurl@0.1.2,
mmh3,5.1.0,pkg:pypi/mmh3@5.1.0,library,pkg:pypi/mmh3@5.1.0,
mpmath,1.3.0,pkg:pypi/mpmath@1.3.0,library,pkg:pypi/mpmath@1.3.0,
msal,1.32.3,pkg:pypi/msal@1.32.3,library,pkg:pypi/msal@1.32.3,
msal-extensions,1.3.1,pkg:pypi/msal-extensions@1.3.1,library,pkg:pypi/msal-extensions@1.3.1,
multidict,6.5.1,pkg:pypi/multidict@6.5.1,library,pkg:pypi/multidict@6.5.1,
mypy-extensions,1.1.0,pkg:pypi/mypy-extensions@1.1.0,library,pkg:pypi/mypy-extensions@1.1.0,
narwhals,1.44.0,pkg:pypi/narwhals@1.44.0,library,pkg:pypi/narwhals@1.44.0,
nest-asyncio,1.6.0,pkg:pypi/nest-asyncio@1.6.0,library,pkg:pypi/nest-asyncio@1.6.0,
networkx,3.5,pkg:pypi/networkx@3.5,library,pkg:pypi/networkx@3.5,
nibabel,5.3.2,pkg:pypi/nibabel@5.3.2,library,pkg:pypi/nibabel@5.3.2,
nipype,1.10.0,pkg:pypi/nipype@1.10.0,library,pkg:pypi/nipype@1.10.0,
nltk,3.9.1,pkg:pypi/nltk@3.9.1,library,pkg:pypi/nltk@3.9.1,
numpy,1.26.4,pkg:pypi/numpy@1.26.4,library,pkg:pypi/numpy@1.26.4,
nvidia-cublas-cu12,12.1.3.1,pkg:pypi/nvidia-cublas-cu12@12.1.3.1,library,pkg:pypi/nvidia-cublas-cu12@12.1.3.1,
nvidia-cuda-cupti-cu12,12.1.105,pkg:pypi/nvidia-cuda-cupti-cu12@12.1.105,library,pkg:pypi/nvidia-cuda-cupti-cu12@12.1.105,
nvidia-cuda-nvrtc-cu12,12.1.105,pkg:pypi/nvidia-cuda-nvrtc-cu12@12.1.105,library,pkg:pypi/nvidia-cuda-nvrtc-cu12@12.1.105,
nvidia-cuda-runtime-cu12,12.1.105,pkg:pypi/nvidia-cuda-runtime-cu12@12.1.105,library,pkg:pypi/nvidia-cuda-runtime-cu12@12.1.105,
nvidia-cudnn-cu12,8.9.2.26,pkg:pypi/nvidia-cudnn-cu12@8.9.2.26,library,pkg:pypi/nvidia-cudnn-cu12@8.9.2.26,
nvidia-cufft-cu12,11.0.2.54,pkg:pypi/nvidia-cufft-cu12@11.0.2.54,library,pkg:pypi/nvidia-cufft-cu12@11.0.2.54,
nvidia-curand-cu12,10.3.2.106,pkg:pypi/nvidia-curand-cu12@10.3.2.106,library,pkg:pypi/nvidia-curand-cu12@10.3.2.106,
nvidia-cusolver-cu12,11.4.5.107,pkg:pypi/nvidia-cusolver-cu12@11.4.5.107,library,pkg:pypi/nvidia-cusolver-cu12@11.4.5.107,
nvidia-cusparse-cu12,12.1.0.106,pkg:pypi/nvidia-cusparse-cu12@12.1.0.106,library,pkg:pypi/nvidia-cusparse-cu12@12.1.0.106,
nvidia-nccl-cu12,2.19.3,pkg:pypi/nvidia-nccl-cu12@2.19.3,library,pkg:pypi/nvidia-nccl-cu12@2.19.3,
nvidia-nvjitlink-cu12,12.9.86,pkg:pypi/nvidia-nvjitlink-cu12@12.9.86,library,pkg:pypi/nvidia-nvjitlink-cu12@12.9.86,
nvidia-nvtx-cu12,12.1.105,pkg:pypi/nvidia-nvtx-cu12@12.1.105,library,pkg:pypi/nvidia-nvtx-cu12@12.1.105,
oauthlib,3.3.1,pkg:pypi/oauthlib@3.3.1,library,pkg:pypi/oauthlib@3.3.1,
olefile,0.47,pkg:pypi/olefile@0.47,library,pkg:pypi/olefile@0.47,
ollama,0.5.1,pkg:pypi/ollama@0.5.1,library,pkg:pypi/ollama@0.5.1,
onnxruntime,1.22.0,pkg:pypi/onnxruntime@1.22.0,library,pkg:pypi/onnxruntime@1.22.0,
openai,1.92.2,pkg:pypi/openai@1.92.2,library,pkg:pypi/openai@1.92.2,
opencv-python,4.11.0.86,pkg:pypi/opencv-python@4.11.0.86,library,pkg:pypi/opencv-python@4.11.0.86,
openpyxl,3.1.5,pkg:pypi/openpyxl@3.1.5,library,pkg:pypi/openpyxl@3.1.5,
opentelemetry-api,1.34.1,pkg:pypi/opentelemetry-api@1.34.1,library,pkg:pypi/opentelemetry-api@1.34.1,
opentelemetry-exporter-otlp-proto-common,1.34.1,pkg:pypi/opentelemetry-exporter-otlp-proto-common@1.34.1,library,pkg:pypi/opentelemetry-exporter-otlp-proto-common@1.34.1,
opentelemetry-exporter-otlp-proto-grpc,1.34.1,pkg:pypi/opentelemetry-exporter-otlp-proto-grpc@1.34.1,library,pkg:pypi/opentelemetry-exporter-otlp-proto-grpc@1.34.1,
opentelemetry-instrumentation,0.55b1,pkg:pypi/opentelemetry-instrumentation@0.55b1,library,pkg:pypi/opentelemetry-instrumentation@0.55b1,
opentelemetry-instrumentation-asgi,0.55b1,pkg:pypi/opentelemetry-instrumentation-asgi@0.55b1,library,pkg:pypi/opentelemetry-instrumentation-asgi@0.55b1,
opentelemetry-instrumentation-fastapi,0.55b1,pkg:pypi/opentelemetry-instrumentation-fastapi@0.55b1,library,pkg:pypi/opentelemetry-instrumentation-fastapi@0.55b1,
opentelemetry-proto,1.34.1,pkg:pypi/opentelemetry-proto@1.34.1,library,pkg:pypi/opentelemetry-proto@1.34.1,
opentelemetry-sdk,1.34.1,pkg:pypi/opentelemetry-sdk@1.34.1,library,pkg:pypi/opentelemetry-sdk@1.34.1,
opentelemetry-semantic-conventions,0.55b1,pkg:pypi/opentelemetry-semantic-conventions@0.55b1,library,pkg:pypi/opentelemetry-semantic-conventions@0.55b1,
opentelemetry-util-http,0.55b1,pkg:pypi/opentelemetry-util-http@0.55b1,library,pkg:pypi/opentelemetry-util-http@0.55b1,
orjson,3.10.18,pkg:pypi/orjson@3.10.18,library,pkg:pypi/orjson@3.10.18,
overrides,7.7.0,pkg:pypi/overrides@7.7.0,library,pkg:pypi/overrides@7.7.0,
packaging,24.2,pkg:pypi/packaging@24.2,library,pkg:pypi/packaging@24.2,
pandas,2.3.0,pkg:pypi/pandas@2.3.0,library,pkg:pypi/pandas@2.3.0,
pathlib,1.0.1,pkg:pypi/pathlib@1.0.1,library,pkg:pypi/pathlib@1.0.1,
pdf2image,1.17.0,pkg:pypi/pdf2image@1.17.0,library,pkg:pypi/pdf2image@1.17.0,
pdfminer-six,20250506,pkg:pypi/pdfminer-six@20250506,library,pkg:pypi/pdfminer-six@20250506,
pillow,11.2.1,pkg:pypi/pillow@11.2.1,library,pkg:pypi/pillow@11.2.1,
platformdirs,4.3.8,pkg:pypi/platformdirs@4.3.8,library,pkg:pypi/platformdirs@4.3.8,
plotly,6.3.0,pkg:pypi/plotly@6.3.0,library,pkg:pypi/plotly@6.3.0,
pluggy,1.6.0,pkg:pypi/pluggy@1.6.0,library,pkg:pypi/pluggy@1.6.0,
poppler-utils,0.1.0,pkg:pypi/poppler-utils@0.1.0,library,pkg:pypi/poppler-utils@0.1.0,
posthog,5.4.0,pkg:pypi/posthog@5.4.0,library,pkg:pypi/posthog@5.4.0,
propcache,0.3.2,pkg:pypi/propcache@0.3.2,library,pkg:pypi/propcache@0.3.2,
protobuf,5.29.5,pkg:pypi/protobuf@5.29.5,library,pkg:pypi/protobuf@5.29.5,
prov,2.1.1,pkg:pypi/prov@2.1.1,library,pkg:pypi/prov@2.1.1,
psutil,7.0.0,pkg:pypi/psutil@7.0.0,library,pkg:pypi/psutil@7.0.0,
psycopg2-binary,2.9.10,pkg:pypi/psycopg2-binary@2.9.10,library,pkg:pypi/psycopg2-binary@2.9.10,
puremagic,1.29,pkg:pypi/puremagic@1.29,library,pkg:pypi/puremagic@1.29,
pyarrow,20.0.0,pkg:pypi/pyarrow@20.0.0,library,pkg:pypi/pyarrow@20.0.0,
pyasn1,0.6.1,pkg:pypi/pyasn1@0.6.1,library,pkg:pypi/pyasn1@0.6.1,
pyasn1-modules,0.4.2,pkg:pypi/pyasn1-modules@0.4.2,library,pkg:pypi/pyasn1-modules@0.4.2,
pycparser,2.22,pkg:pypi/pycparser@2.22,library,pkg:pypi/pycparser@2.22,
pydantic,2.11.7,pkg:pypi/pydantic@2.11.7,library,pkg:pypi/pydantic@2.11.7,
pydantic-core,2.33.2,pkg:pypi/pydantic-core@2.33.2,library,pkg:pypi/pydantic-core@2.33.2,
pydantic-settings,2.10.1,pkg:pypi/pydantic-settings@2.10.1,library,pkg:pypi/pydantic-settings@2.10.1,
pydeck,0.9.1,pkg:pypi/pydeck@0.9.1,library,pkg:pypi/pydeck@0.9.1,
pydot,4.0.1,pkg:pypi/pydot@4.0.1,library,pkg:pypi/pydot@4.0.1,
pydub,0.25.1,pkg:pypi/pydub@0.25.1,library,pkg:pypi/pydub@0.25.1,
pygments,2.19.2,pkg:pypi/pygments@2.19.2,library,pkg:pypi/pygments@2.19.2,
pyjwt,2.10.1,pkg:pypi/pyjwt@2.10.1,library,pkg:pypi/pyjwt@2.10.1,
pymupdf,1.26.1,pkg:pypi/pymupdf@1.26.1,library,pkg:pypi/pymupdf@1.26.1,
pyparsing,3.2.3,pkg:pypi/pyparsing@3.2.3,library,pkg:pypi/pyparsing@3.2.3,
pypdf,5.6.1,pkg:pypi/pypdf@5.6.1,library,pkg:pypi/pypdf@5.6.1,
pypdf2,3.0.1,pkg:pypi/pypdf2@3.0.1,library,pkg:pypi/pypdf2@3.0.1,
pypika,0.48.9,pkg:pypi/pypika@0.48.9,library,pkg:pypi/pypika@0.48.9,
pyproject-hooks,1.2.0,pkg:pypi/pyproject-hooks@1.2.0,library,pkg:pypi/pyproject-hooks@1.2.0,
pyreadline3,3.5.4,pkg:pypi/pyreadline3@3.5.4,library,pkg:pypi/pyreadline3@3.5.4,
pytesseract,0.3.13,pkg:pypi/pytesseract@0.3.13,library,pkg:pypi/pytesseract@0.3.13,
pytest,8.4.1,pkg:pypi/pytest@8.4.1,library,pkg:pypi/pytest@8.4.1,
python-dateutil,2.9.0.post0,pkg:pypi/python-dateutil@2.9.0.post0,library,pkg:pypi/python-dateutil@2.9.0.post0,
python-docx,1.2.0,pkg:pypi/python-docx@1.2.0,library,pkg:pypi/python-docx@1.2.0,
python-dotenv,1.1.1,pkg:pypi/python-dotenv@1.1.1,library,pkg:pypi/python-dotenv@1.1.1,
python-multipart,0.0.20,pkg:pypi/python-multipart@0.0.20,library,pkg:pypi/python-multipart@0.0.20,
python-pptx,1.0.2,pkg:pypi/python-pptx@1.0.2,library,pkg:pypi/python-pptx@1.0.2,
pytz,2025.2,pkg:pypi/pytz@2025.2,library,pkg:pypi/pytz@2025.2,
pyxnat,1.6.3,pkg:pypi/pyxnat@1.6.3,library,pkg:pypi/pyxnat@1.6.3,
pyyaml,6.0.2,pkg:pypi/pyyaml@6.0.2,library,pkg:pypi/pyyaml@6.0.2,
rdflib,7.1.4,pkg:pypi/rdflib@7.1.4,library,pkg:pypi/rdflib@7.1.4,
readability,0.3.2,pkg:pypi/readability@0.3.2,library,pkg:pypi/readability@0.3.2,
redis,6.2.0,pkg:pypi/redis@6.2.0,library,pkg:pypi/redis@6.2.0,
referencing,0.36.2,pkg:pypi/referencing@0.36.2,library,pkg:pypi/referencing@0.36.2,
regex,2024.11.6,pkg:pypi/regex@2024.11.6,library,pkg:pypi/regex@2024.11.6,
requests,2.32.4,pkg:pypi/requests@2.32.4,library,pkg:pypi/requests@2.32.4,
requests-oauthlib,2.0.0,pkg:pypi/requests-oauthlib@2.0.0,library,pkg:pypi/requests-oauthlib@2.0.0,
requests-toolbelt,1.0.0,pkg:pypi/requests-toolbelt@1.0.0,library,pkg:pypi/requests-toolbelt@1.0.0,
rich,14.0.0,pkg:pypi/rich@14.0.0,library,pkg:pypi/rich@14.0.0,
rpds-py,0.25.1,pkg:pypi/rpds-py@0.25.1,library,pkg:pypi/rpds-py@0.25.1,
rsa,4.9.1,pkg:pypi/rsa@4.9.1,library,pkg:pypi/rsa@4.9.1,
safetensors,0.5.3,pkg:pypi/safetensors@0.5.3,library,pkg:pypi/safetensors@0.5.3,
scikit-learn,1.7.0,pkg:pypi/scikit-learn@1.7.0,library,pkg:pypi/scikit-learn@1.7.0,
scipy,1.16.0,pkg:pypi/scipy@1.16.0,library,pkg:pypi/scipy@1.16.0,
sentence-transformers,3.4.1,pkg:pypi/sentence-transformers@3.4.1,library,pkg:pypi/sentence-transformers@3.4.1,
setuptools,80.9.0,pkg:pypi/setuptools@80.9.0,library,pkg:pypi/setuptools@80.9.0,
shellingham,1.5.4,pkg:pypi/shellingham@1.5.4,library,pkg:pypi/shellingham@1.5.4,
simplejson,3.20.1,pkg:pypi/simplejson@3.20.1,library,pkg:pypi/simplejson@3.20.1,
six,1.17.0,pkg:pypi/six@1.17.0,library,pkg:pypi/six@1.17.0,
smmap,5.0.2,pkg:pypi/smmap@5.0.2,library,pkg:pypi/smmap@5.0.2,
sniffio,1.3.1,pkg:pypi/sniffio@1.3.1,library,pkg:pypi/sniffio@1.3.1,
soupsieve,2.7,pkg:pypi/soupsieve@2.7,library,pkg:pypi/soupsieve@2.7,
speechrecognition,3.14.3,pkg:pypi/speechrecognition@3.14.3,library,pkg:pypi/speechrecognition@3.14.3,
sqlalchemy,2.0.41,pkg:pypi/sqlalchemy@2.0.41,library,pkg:pypi/sqlalchemy@2.0.41,
sse-starlette,2.3.6,pkg:pypi/sse-starlette@2.3.6,library,pkg:pypi/sse-starlette@2.3.6,
starlette,0.46.2,pkg:pypi/starlette@0.46.2,library,pkg:pypi/starlette@0.46.2,
streamlit,1.46.1,pkg:pypi/streamlit@1.46.1,library,pkg:pypi/streamlit@1.46.1,
striprtf,0.0.26,pkg:pypi/striprtf@0.0.26,library,pkg:pypi/striprtf@0.0.26,
sympy,1.14.0,pkg:pypi/sympy@1.14.0,library,pkg:pypi/sympy@1.14.0,
tenacity,9.1.2,pkg:pypi/tenacity@9.1.2,library,pkg:pypi/tenacity@9.1.2,
threadpoolctl,3.6.0,pkg:pypi/threadpoolctl@3.6.0,library,pkg:pypi/threadpoolctl@3.6.0,
tiktoken,0.8.0,pkg:pypi/tiktoken@0.8.0,library,pkg:pypi/tiktoken@0.8.0,
tokenizers,0.21.2,pkg:pypi/tokenizers@0.21.2,library,pkg:pypi/tokenizers@0.21.2,
toml,0.10.2,pkg:pypi/toml@0.10.2,library,pkg:pypi/toml@0.10.2,
torch,2.2.2,pkg:pypi/torch@2.2.2,library,pkg:pypi/torch@2.2.2,
tornado,6.5.1,pkg:pypi/tornado@6.5.1,library,pkg:pypi/tornado@6.5.1,
